"City","Region","Population","Country","city_country"
"Ghazni","Ghazni","190,400","Afghanistan","Ghazni, Afghanistan"
"Herat","Herat","592,900","Afghanistan","Herat, Afghanistan"
"Jalalabad","Nangarhar","280,600","Afghanistan","Jalalabad, Afghanistan"
"Kabul","Kabul","4,601,700","Afghanistan","Kabul, Afghanistan"
"Kandahar","Kandahar","651,400","Afghanistan","Kandahar, Afghanistan"
"Khost","Khost","160,214","Afghanistan","Khost, Afghanistan"
"Kunduz","Kunduz","268,800","Afghanistan","Kunduz, Afghanistan"
"Lashkargah","Helmand","201,500","Afghanistan","Lashkargah, Afghanistan"
"Mazar-i-Sharif","Balkh","500,200","Afghanistan","Mazar-i-Sharif, Afghanistan"
"Mihtarlam","Laghman","144,162","Afghanistan","Mihtarlam, Afghanistan"
"Puli Khumri","Baghlan","221,200","Afghanistan","Puli Khumri, Afghanistan"
"Sar-e Pol","Sar-e Pol","164,500","Afghanistan","Sar-e Pol, Afghanistan"
"Sheberghan","Jowzjan","175,599","Afghanistan","Sheberghan, Afghanistan"
"Taloqan","Takhar","196,400","Afghanistan","Taloqan, Afghanistan"
"Tirana","Tirana","418,495","Albania","Tirana, Albania"
"Durrës","Durrës","113,249","Albania","Durrës, Albania"
"Aflou","Laghouat","102,000","Algeria","Aflou, Algeria"
"Aïn Beïda","Oum El Bouaghi","116,000","Algeria","Aïn Beïda, Algeria"
"Aïn Oussera","Djelfa","134,100","Algeria","Aïn Oussera, Algeria"
"Algiers","Algiers","3,915,800","Algeria","Algiers, Algeria"
"Annaba","Annaba","257,300","Algeria","Annaba, Algeria"
"Barika","Batna","104,300","Algeria","Barika, Algeria"
"Batna","Batna","290,600","Algeria","Batna, Algeria"
"Béchar","Béchar","165,600","Algeria","Béchar, Algeria"
"Bejaïa","Béjaïa","177,900","Algeria","Bejaïa, Algeria"
"Beskra","Biskra","307,900","Algeria","Beskra, Algeria"
"Bordj Bou Arréridj","Bordj Bou Arréridj","158,800","Algeria","Bordj Bou Arréridj, Algeria"
"Bou Saâda","M'Sila","111,700","Algeria","Bou Saâda, Algeria"
"Chlef","Chlef","178,600","Algeria","Chlef, Algeria"
"El Boulaïda","Blida","182,400","Algeria","El Boulaïda, Algeria"
"El Djelfa","Djelfa","339,200","Algeria","El Djelfa, Algeria"
"El Eulma","Sétif","355,000","Algeria","El Eulma, Algeria"
"El Oued","El Oued","134,600","Algeria","El Oued, Algeria"
"Ghardaïa","Ghardaïa","142,900","Algeria","Ghardaïa, Algeria"
"Ghilizane","Relizane","123,200","Algeria","Ghilizane, Algeria"
"Guelma","Guelma","120,000","Algeria","Guelma, Algeria"
"Jijel","Jijel","131,500","Algeria","Jijel, Algeria"
"Khenchela","Khenchela","114,400","Algeria","Khenchela, Algeria"
"Laghouat","Laghouat","134,300","Algeria","Laghouat, Algeria"
"Maghnia","Tlemcen","114,600","Algeria","Maghnia, Algeria"
"Lemdiyya","Médéa","145,400","Algeria","Lemdiyya, Algeria"
"Mestghanem","Mostaganem","245,300","Algeria","Mestghanem, Algeria"
"Mouaskar","Mascara","108,600","Algeria","Mouaskar, Algeria"
"M'Sila","M'Sila","132,900","Algeria","M'Sila, Algeria"
"Qacentina","Constantine","464,200","Algeria","Qacentina, Algeria"
"Saïda","Saïda","142,400","Algeria","Saïda, Algeria"
"Sidi-bel-Abbès","Sidi Bel Abbès","212,900","Algeria","Sidi-bel-Abbès, Algeria"
"Skikda","Skikda","182,900","Algeria","Skikda, Algeria"
"Souk Ahras","Souk Ahras","156,700","Algeria","Souk Ahras, Algeria"
"Sétif","Sétif","788,400","Algeria","Sétif, Algeria"
"Tébessa","Tébessa","196,500","Algeria","Tébessa, Algeria"
"Tiaret","Tiaret","178,900","Algeria","Tiaret, Algeria"
"Tlemsen","Tlemcen","377,400","Algeria","Tlemsen, Algeria"
"Tizi Ouzou","Tizi Ouzou","142,900","Algeria","Tizi Ouzou, Algeria"
"Oran","Oran","803,300","Algeria","Oran, Algeria"
"Ouargla","Ouargla","133,000","Algeria","Ouargla, Algeria"
"Benguela","Benguela","561,700","Angola","Benguela, Angola"
"Caála","Huambo","279,700","Angola","Caála, Angola"
"Cabinda","Cabinda","624,600","Angola","Cabinda, Angola"
"Cubal","Benguela","305,600","Angola","Cubal, Angola"
"Dundo","Lunda Norte","177,600","Angola","Dundo, Angola"
"Gabela","Cuanza Sul","184,700","Angola","Gabela, Angola"
"Huambo","Huambo","713,100","Angola","Huambo, Angola"
"Kuito","Bié","450,800","Angola","Kuito, Angola"
"Lobito","Benguela","393,000","Angola","Lobito, Angola"
"Luanda","Luanda","2,571,800","Angola","Luanda, Angola"
"Lubango","Huíla","776,200","Angola","Lubango, Angola"
"Lucapa","Lunda Norte","154,300","Angola","Lucapa, Angola"
"Luena","Moxico","357,400","Angola","Luena, Angola"
"Malanje","Malanje","506,800","Angola","Malanje, Angola"
"M'banza-Kongo","Zaire","180,300","Angola","M'banza-Kongo, Angola"
"Menongue","Cuando Cubango","320,900","Angola","Menongue, Angola"
"Moçâmedes","Namibe","292,500","Angola","Moçâmedes, Angola"
"Negage","Uíge","137,500","Angola","Negage, Angola"
"N'dalatando","Cuanza Norte","168,800","Angola","N'dalatando, Angola"
"Ondjiva","Cunene","187,900","Angola","Ondjiva, Angola"
"Quilamba","Luanda","129,000","Angola","Quilamba, Angola"
"Saurimo","Lunda Sul","442,400","Angola","Saurimo, Angola"
"Soyo","Zaire","266,900","Angola","Soyo, Angola"
"Sumbe","Cuanza Sul","279,900","Angola","Sumbe, Angola"
"Uíge","Uíge","616,600","Angola","Uíge, Angola"
"Bahía Blanca","Buenos Aires","334,505","Argentina","Bahía Blanca, Argentina"
"Bariloche","Río Negro","161,443","Argentina","Bariloche, Argentina"
"Berisso","Buenos Aires","100,685","Argentina","Berisso, Argentina"
"Buenos Aires","Autonomous City of Buenos Aires","10,801,336","Argentina","Buenos Aires, Argentina"
"Campana","Buenos Aires","107,976","Argentina","Campana, Argentina"
"Catamarca","Catamarca","186,466","Argentina","Catamarca, Argentina"
"Comodoro Rivadavia","Chubut","214,829","Argentina","Comodoro Rivadavia, Argentina"
"Concordia","Entre Ríos","197,603","Argentina","Concordia, Argentina"
"Córdoba","Córdoba","1,498,060","Argentina","Córdoba, Argentina"
"Corrientes","Corrientes","437,446","Argentina","Corrientes, Argentina"
"Formosa","Formosa","268,572","Argentina","Formosa, Argentina"
"Godoy Cruz","Mendoza","194,557","Argentina","Godoy Cruz, Argentina"
"Las Heras","Mendoza","233,839","Argentina","Las Heras, Argentina"
"Luján de Cuyo","Mendoza","171,883","Argentina","Luján de Cuyo, Argentina"
"Mar del Plata","Buenos Aires","660,569","Argentina","Mar del Plata, Argentina"
"Mendoza","Mendoza","123,715","Argentina","Mendoza, Argentina"
"Neuquén","Neuquén","467,217","Argentina","Neuquén, Argentina"
"Paraná","Entre Ríos","388,716","Argentina","Paraná, Argentina"
"La Plata","Buenos Aires","756,074","Argentina","La Plata, Argentina"
"Posadas","Misiones","391,498","Argentina","Posadas, Argentina"
"Resistencia","Chaco","413,764","Argentina","Resistencia, Argentina"
"Río Cuarto","Córdoba","277,979","Argentina","Río Cuarto, Argentina"
"Río Gallegos","Santa Cruz","137,309","Argentina","Río Gallegos, Argentina"
"La Rioja","La Rioja","210,507","Argentina","La Rioja, Argentina"
